Escherichia coli
Gomphonema drutelingense
Encyonema ventricosum
Achnanthidium biasolettianum
Gomphonema olivaceum
Cymbella cantonatii
Achnanthidium minutissimum
Navicula cryptotenella
Adlafia minuscula
Encyonema silesiacum
Diatoma moniliformis
Gomphonema minutum
Nitzschia linearis
Navicula capitatoradiata
Didymosphenia geminata
Cymbella excisa var. procera
Cymbella excisa
Gomphonema tergestinum
Fragilaria recapitellata
Amphora pediculus
Planothidium lanceolatum
Halamphora veneta
Navicula tripunctata
Cymbopleura amphicephala
Diploneis fontanella
Gomphonema micropus
Nitzschia palea
Pantocsekiella ocellata
Denticula kuetzingii
Navicula trivialis
Navicula cryptotenelloides
Nitzschia hantzschiana
Halamphora paraveneta
Navicula cryptocephala
Hantzschiana abundans
Cymbella excisa var. subcapitata
Epithemia goeppertiana
Luticola nivalis
Frustulia vulgaris
Epithemia argus
Pinnularia brebissonii
Cocconeis pseudolineata
Nitzschia archibaldii
Humidophila perpusilla
Planothidium frequentissimum
Surirella brebissonii var. kuetzingii
Meridion circulare
Gomphonema calcifugum
Gomphonema pumilum var. rigidum
Gomphonema supertergestinum
Surella minuta
Gomphonema exilissimum
Navicula reichardtiana
Navicula upsaliensis
Navicula gregaria
Amphora inariensis
Navicula moskalii
Neidiomorpha binodiformis
Navicula lanceolata
Stauroneis blazenciciae
Nitzschia recta
Rhoicosphenia abbreviata
Diatoma mesodon
Humidophila contenta
Sellaphora radiosa
Sellaphora saugerresii
Gomphonema pumilum
Caloneis lancettula
Navicula novaesiberica
